编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,场景类型,模式名称,说明,示例片段,毒点
SP-082,write|plan,年代,知识补充,单位会议|评先进|车间冲突|集体表态,年代单位会议怎么写|评先进场景怎么写|车间争执怎么写,年代,单位会议场景要写座次、发言顺序和集体表态，不能像现代公司例会。,年代单位的压力来自组织评价会进入个人生活。,适合通过沉默、点名、记录本和领导一句话制造压迫。,年代场景,集体评价压迫场,适合名额争夺、处罚通报、先进评选和岗位调整。,书记翻到最后一页才抬头，屋里没人再嗑瓜子，因为那一栏写着推荐意见。,老板让大家自由头脑风暴，气氛像互联网公司周会。
SP-083,write|plan,种田,知识补充,修渠开荒|分工协作|工具细节|天气压力,修渠场景怎么写|开荒劳动怎么写|种田建设怎么落场,种田|历史,修渠开荒场景要写地势、工具、人手和分水争执，让建设有现场阻力。,种田建设戏的看点是汗水、泥土和规则一起改变现实。,适合通过锄头、土筐、木桩、水线和村人分工呈现工程进度。,种田场景,地势工具协作场,适合水利、开荒、筑路、修仓和灾前准备。,木桩打到第三排时水线终于偏过来，先前吵得最凶的老汉第一个跳下沟扶锹。,主角宣布修渠，下一段渠已经修好，村民都很感激。
SP-084,write|plan,种田,知识补充,赶集试卖|摊位叫卖|顾客议价|复购反馈,赶集场景怎么写|小摊卖货怎么写|种田试卖怎么不流水账,种田|年代,赶集试卖场景要用人流、摊位、议价和试吃反应推动经营线。,市集不是背景，而是检验产品、口碑和价格的压力场。,适合用一个挑剔顾客、一个竞争摊主和一个回头客组成小闭环。,经营场景,市井试卖反馈场,适合新品试卖、摆摊开张、口碑发酵和价格博弈。,老妇咬了一口没说好吃，先问明日还来不来，手却已经把铜钱压在摊布角上。,写东西很好吃，大家马上全部买光，没有议价和市场反馈。
SP-085,write|plan,快穿,知识补充,新世界落地|身份危机|系统提示|原主记忆碎片,快穿开局场景怎么写|新世界落地怎么写|原主记忆怎么插入,快穿,快穿落地场景要先给当前危险，再用碎片补任务信息，别开篇长篇解释。,单元开局的目标是让读者立刻知道这次谁欺负了原主。,适合从被抓包、被羞辱、被退婚、被追杀等强处境切入。,快穿场景,现场危机落地法,适合每个新世界第一场、身份切换、任务发布和世界规则展示。,她睁眼时，耳边不是系统声，而是满堂宾客等她认下那封假情书。,先解释世界背景三千字，再让主角慢慢进入任务。
SP-086,write|plan,快穿,知识补充,任务结算|评级异常|系统沉默|单元余韵,快穿结算场景怎么写|系统评级怎么写|单元结束怎么留钩子,快穿,任务结算场景要同时完成情绪收束和长线钩子，不能只有奖励列表。,快穿单元结束最好留下一个角色余波或系统异常。,适合用评级停顿、异常代码、原主残念和下个世界预告制造余韵。,快穿场景,结算异常留钩场,适合单元结尾、任务失败、评级超标和系统关系变化。,SSS亮起后没有立刻跳转，屏幕黑了一秒，她听见系统第一次喊了她的真名。,只列获得积分道具，没有原主回声也没有后续悬念。
SP-087,write|plan,仙侠,知识补充,论道场景|道心交锋|宗门旁听|异象克制,仙侠论道场景怎么写|宗门辩经怎么写|道心交锋怎么落场,仙侠|玄幻,论道场景要写听众反应、对手立论和主角破题，少堆玄词空话。,文斗场面的张力来自观点击中修行根基。,适合用蒲团、钟声、香火、旁听弟子和短暂异象控制节奏。,仙侠场景,道心交锋文斗场,适合宗门论道、师徒分歧、佛道辩经和心境突破。,殿中钟声无风自响时，原本低笑的弟子忽然都收了声。,两人互相说大道至理，旁人不停惊叹但读者不知道赢在哪里。
SP-088,write|plan,仙侠,知识补充,炼丹炸炉|火候失控|药性冲突|师徒狼狈,炼丹炸炉场景怎么写|仙侠搞笑炼丹怎么写|炼器失败怎么写,仙侠|玄幻,炼丹炸炉场景要用工艺细节制造笑点和机缘，不能只写轰的一声。,失败过程越具体，意外收获越可信。,适合写火候、药材入炉顺序、炉纹裂开、烟味变化和师父反应。,仙侠场景,工艺失控意外场,适合炼丹、炼器、符箓试验和喜剧转机。,第三味药刚落下去，炉口先吐出一缕甜香，师父脸色却比炉灰还白。,丹炉爆炸后主角直接获得神丹，没有失败原因。
SP-089,write|plan,幻言,知识补充,契约反噬|族群审判|灵纹变化|禁忌暴露,契约反噬场景怎么写|幻言族群审判怎么写|神妖禁忌场景,幻言,契约反噬场景要把情绪变化写成规则反应，让甜虐可视化。,幻言场景的强处在超凡规则和亲密关系同时发作。,适合用契纹、灵压、族人沉默、灵宠异常和身体代价呈现禁忌。,幻言场景,情绪规则同步场,适合告白、守护、身份暴露、族规审判和契约破裂。,她说只是同盟，可腕上契纹先一步红了，连审判席上的长老都沉下脸。,两人深情告白，超凡设定完全没有参与场面。
SP-090,write|plan,幻言,知识补充,灵物认主|血脉觉醒|异象克制|身份验证,血脉觉醒场景怎么写|灵物认主怎么落场|幻言身份反转场景,幻言,灵物认主场景要先写误判和排斥，再让世界规则给出不可抵赖的证明。,身份反转要靠细节铺垫，不要突然天降认证。,适合用旧伤、血纹、灵物反应、族谱缺页和旁人态度变化承接反转。,幻言场景,公开验证反转场,适合身份揭露、族群回归、神妖血脉和灵宠认主。,那只只认王族的白鹿绕过所有人，低头舔了舔她袖口的旧血。,主角说自己血脉高贵，所有人立刻相信。
SP-091,write|plan,衍生,知识补充,原著初遇|角色声线|化学反应|边界试探,同人初遇场景怎么写|原著角色初遇怎么不OOC|OC见主角怎么写,衍生,同人初遇场景要让原著角色按自己的逻辑反应，而不是立刻被原创主角征服。,初遇的目标是确立新化学反应和边界。,适合通过一句原作风格的试探、一个小事件和一个未完全解决的误会推进关系。,衍生场景,原著角色边界初遇,适合OC入场、主角救人、争夺机会和阵营初接触。,他把食物递过去，对方第一反应不是感谢，而是先盯住他藏在袖里的武器。,原著角色见面就对原创主角无条件信任和崇拜。
SP-092,write|plan,衍生,知识补充,战力测试|强者试探|原作标尺|克制胜负,同人战斗场景怎么写|战力测试怎么写|原作强者试探怎么排,衍生,同人战力测试要保留原作强者的压迫感，用局部胜负证明主角能力。,读者熟悉标尺，主角赢得太轻会直接崩坏。,适合用限定目标、情报差、技能克制和旁观强者判断控制强弱。,衍生场景,原作标尺试探战,适合初战、拜师、入队考核、强者认可和战力校准。,他没有打倒对方，只在三招内逼退半步，旁观的人却全都明白这半步意味着什么。,主角第一次出手就把原作顶级强者秒杀，后续失去压力。
SP-093,write|plan,种田,知识补充,丰收宴席|集体分食|劳动回报|民心凝聚,丰收宴怎么写|种田庆典场景怎么写|领地宴席怎么有爽点,种田|年代,丰收宴席场景要写食物堆叠、分配秩序和群体情绪，兑现前期劳动。,庆典不是热闹装饰，而是新秩序被大家接受的场合。,适合用第一碗饭、第一口肉、孩子笑声和外人羡慕做回报。,种田场景,劳动成果庆典场,适合丰收、领地升级、灾后重建和家庭和解。,第一锅肉汤端出来时，没人先抢，所有人都看向那个新修好的粮仓。,大家举办庆典非常开心，但看不出具体收获。
SP-094,write|plan,年代,知识补充,返城手续|介绍信|政策通知|命运卡点,返城场景怎么写|介绍信卡点怎么写|年代手续怎么有张力,年代,返城和手续场景要把一张纸的重量写出来，让政策窗口具体压到人身上。,年代机会往往卡在通知、印章、名单和介绍信上。,适合用排队、盖章、名单张贴、被人截留消息和最后期限制造紧张。,年代场景,手续卡点命运场,适合高考、招工、返城、调岗和住房分配。,名单贴出来那刻，她先没找自己的名字，而是看向公社办公室那扇一直关着的门。,角色想走就走，没有手续和组织关系压力。
SP-095,write|plan,快穿,知识补充,白月光回归|替身修罗场|身份比较|主动离开,快穿替身场景怎么写|白月光回归怎么写|替身翻身怎么落场,快穿|现言,替身修罗场要把比较羞辱写具体，再让主角用选择夺回身份。,场景重点不是谁更被爱，而是谁不再接受被当影子。,适合用称呼叫错、旧物重现、众人默认和主角主动切断关系制造爽点。,快穿场景,替身身份夺回场,适合白月光回归、宴会羞辱、分手反杀和原主执念回收。,他递来的披肩还带着另一个人的香水味，她没接，只把合同推回去说到此为止。,两个女人围着男主争宠，主角仍然被爱情定义。
SP-096,write|plan,历史,知识补充,宗族议事|祠堂裁决|族老站队|名分压迫,宗族议事怎么写|祠堂场景怎么写|历史家族裁决怎么排,历史|古言|种田,宗族议事场景要写辈分、名分和族产利益，不能只是家庭吵架升级版。,祠堂不是普通房间，而是名分和舆论共同压人的场。,适合通过座次、牌位、族谱、长辈称呼和族产账册呈现权力结构。,历史场景,名分压迫式宗族议事,适合分家、继承、婚约、族产争夺和女性处境冲突。,族谱被翻到她父亲那一页时，先前说话最大声的堂叔忽然不敢抬眼。,一家人随便在祠堂里互骂，辈分和名分没有作用。
