编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,桥段名称,前置铺垫,核心爽点,转折设计,反套路变种,毒点
TR-075,write|plan,桥段,知识补充,付费卡点|短篇卡点|关键信息停顿|付费转化,短篇付费卡点怎么写|哪里断章最想看|付费点怎么卡,全部,卡点要停在答案即将揭开但后果已经压到脸上的位置，不要停在无意义悬念。,有效付费卡点让读者不是想知道发生了什么，而是必须知道接下来怎么收场。,卡点前要完成冲突升级和信息抛出，卡点处给出关键问题或反转门缝，付费后立刻兑现一部分答案。,答案门缝式付费卡点,核心冲突已被点燃|读者已知道代价很大|下一段能立即兑现,强好奇|强情绪|转化冲动,让角色刚看到证据或听到名字时切断，下一段先给反应再给真相,卡点不靠断句卖关子，而靠前文确实把情绪和问题推到临界点,卡在无关动作|付费后不兑现|为了卡点强行拖慢
TR-076,write|plan,桥段,知识补充,炸裂开头|第一人称爆点|短篇开篇|开局反常,知乎短篇开头怎么写|第一人称怎么抓人|炸裂开头怎么设计,全部,短篇开头第一段就给反常处境、强情绪或结果倒挂，少铺设定多给冲突。,短篇爆款开头的核心是让读者立刻进入我为什么会这样的问题。,可以从葬礼、离婚现场、死亡短信、亲人背叛、规则公告或审判现场切入，再倒回解释。,第一人称反常开局,主角处境反常|一句话能暴露冲突|后续有可解释空间,强代入|快速入局|问题牵引,用我收到自己死亡通知那天开场，再立刻给现实证据压住读者,开头先甩结果，再在两三段内补上最必要的身份和关系,开头解释世界观太久|反常无后续解释|只靠标题党
TR-077,write|plan,桥段,知识补充,世情旧账|亲情审判|生活反击|现实清算,世情文怎么翻旧账|亲情冲突怎么反击|生活化打脸怎么写,现言|年代|都市,世情清算要从日常小账切入，把偏心、亏欠和名声压力一点点摊开。,世情文的爽不是大开杀戒，而是让现实里含糊多年的账终于被人说清。,医药费、房租、彩礼、照料时间、邻里证词和单位记录都能成为清算材料。,世情旧账现实清算,长期偏心或压榨已存在|主角有具体账目或证人|现场有人情压力,生活真相曝光|尊严找回|关系重新定价,先让亲戚以道德压人，再让主角拿出一项项具体付出反向审判,清算后不必完全断亲，也可以进入冷清醒的边界重建,只靠大骂亲人|旧账没有具体凭据|清算后没有生活后果
TR-078,write|plan,桥段,知识补充,规则违反|后果示范|新人试错|死亡教学,规则怪谈违反规则怎么写|规则后果怎么展示|新人试错桥段,悬疑,第一次违规后果要具体、克制、可推理，让读者理解规则不是摆设。,规则怪谈的死亡教学不是为了血腥，而是让读者明白哪条规则真的管用。,最好让配角违反一条看似小的限制，后果逐步显现，并留下可被主角分析的线索。,违规后果示范,基础规则已公布|角色有理由轻视或误解|主角无法完全阻止,规则威慑|推理线索|恐怖记忆点,先写众人以为没事，再用身体细节、环境变化或记录变化慢慢兑现惩罚,违规者未必当场死，而是变成后续隐藏规则的活证据,只靠突脸杀人|后果和规则无关|死亡后没有信息增量
TR-079,write|plan,桥段,知识补充,矛盾规则解读|规则冲突|真假条款|身份差异,矛盾规则怎么破|两条规则冲突怎么办|真假规则桥段怎么写,悬疑,矛盾规则要让角色先分别验证，再找适用条件差异，而不是直接判一条假。,矛盾规则最有推理味的地方，是两条看似冲突的规则可能在不同身份或时间都成立。,同一规则对游客、员工、病人、孩子或夜间状态不同，就能制造层级感和反转空间。,矛盾规则条件分层,两条规则都有出现依据|角色已尝试不同情境|存在身份或时间边界,认知翻面|规则层级加深|读者参与推理,先让队伍为信哪条规则分裂，再由一个不起眼身份标签解开矛盾,最后发现所谓假规则只是另一个阵营的真规则,简单宣布一条作废|矛盾没有验证过程|解决后不影响后续规则
TR-080,write|plan,桥段,知识补充,玄幻团战|角色分工|阵型变化|合击破局,玄幻团战怎么写|多人战斗怎么不乱|队伍配合怎么写,玄幻|仙侠|奇幻,团战先给分工和阵型，再写局势变化，别让所有人各放大招。,玄幻团战的爽点来自配合破局，不是招式烟花同时炸。,前排抗压、远程牵制、辅助控场、主角找破绽，每个角色都要有不可替代的一步。,分工合击式玄幻团战,队伍能力已建立|敌方有明显压迫|战场空间能支撑站位,配合破局|群像高光|局势翻盘,先让单点进攻失败，再用分工补位和合击技能撕开敌方弱点,合击成功也暴露队伍短板，引出下一阶段训练或敌人反制,所有角色轮流喊招式|站位不清|主角一招收割导致团战失去意义
TR-081,write|plan,桥段,知识补充,境界突破|战中破境|心境过关|瓶颈碎裂,战斗中突破怎么写|境界瓶颈怎么破|升级爽点怎么不突兀,玄幻|仙侠|幻言,突破必须回应前文瓶颈和当下压力，不要把升级当救命按钮乱用。,战中破境最爽时，是角色终于理解自己卡住的不是灵力而是心境或方法。,前文瓶颈、战斗压迫、失败试招和关键领悟要连成线，突破后还要写身体代价或境界不稳。,战中破境瓶颈回收,瓶颈已多次出现|战斗压力逼到极限|角色有具体领悟对象,升级爆点|旧问题回收|反杀资格获得,先让旧招式失败，再让角色改写理解完成破境而不是单纯灵力暴涨,突破后力量不稳，需要用更聪明的方式结束战斗,无铺垫临时升级|突破后无代价|升级只改数字不改打法
TR-082,write|plan,桥段,知识补充,替身情感萌芽|真假交织|日久生情|心防失守,替身文感情怎么发展|真假感情怎么写|日久生情怎么不假,现言|古言,替身感情线要让假关系和真心动并行，越心动越刺痛身份危机。,替身文的情感发展不是突然爱上，而是在一次次相处中真假边界变模糊。,初期靠契约或相似点接近，中期因真实选择动摇，后期真相揭露让所有心动都带刺。,替身真假情感升温,替代关系已建立|双方有日常相处|女主逐渐察觉不对,甜虐交织|心防失守|身份危机加深,让一次真正被看见的细节和一次被当成别人看的细节紧挨着出现,男主先爱上真实女主却仍不敢承认自己曾经投射,只有虐没有甜|突然从利用变深情|替身设定不影响情感发展
TR-083,write|plan,桥段,知识补充,追妻失败|有限修复|开放结局|不复合也赢,追妻可以失败吗|火葬场不复合怎么写|开放结局怎么有力,现言|古言,追妻结局不必强行复合，关键是让伤害方付出代价，被伤害方拿回选择权。,火葬场最有分量的结果，是原谅与否都服务女主成长，而不是奖励男主痛哭。,可以部分和解、关系重建、彻底错过或开放结尾，但必须交代伤害如何被看见和偿还。,追妻有限修复结局,男主已完成实质赎罪|女主已有独立生活|复合不是唯一目标,尊严归位|情感余味|选择权回到女主,让男主终于做对一件事但不索要回报，结局留给女主是否回头,开放不是没写完，而是关系已经完成主题层面的收束,为甜强行复合|惩罚男主成唯一爽点|女主选择被剧情抹掉
TR-084,write|plan,桥段,知识补充,种田集市|摆摊试卖|口碑发酵|小本生意,种田摆摊怎么写|集市卖货怎么有戏|口碑怎么起,种田|年代|古言,集市试卖要写人流、价格、试吃、讨价还价和第一批回头客。,种田摆摊的爽点来自小产品第一次被市场承认。,摊位位置、邻摊竞争、熟人眼光、试吃反馈和口碑扩散能让一场卖货有烟火气和推进力。,集市试卖口碑发酵,产品已小规模做成|主角缺钱或缺渠道|集市有竞争和围观,第一桶金|口碑起势|生活改善,先遇到压价和质疑，再用试吃或质量拿下第一个帮忙吆喝的人,卖货不是暴富，而是换来固定客户或下一次合作机会,跳过交易过程|价格随便定|顾客无理由全都喜欢
TR-085,write|plan,桥段,知识补充,快穿原主逆袭|炮灰翻身|原剧情反杀|宿命改写,快穿炮灰怎么逆袭|原主遗憾怎么翻盘|原剧情怎么反杀,快穿,原主逆袭桥段要把旧剧情压迫变成反杀材料，让读者看到命运被改写。,快穿炮灰翻身的爽点在于原本注定受害的人终于拿回叙事权。,旧证据、原剧情节点、目标人物误判和反派惯性都能被主角反向利用。,快穿原主逆袭反杀,原主被原剧情压迫|主角掌握部分剧情信息|反派会按惯性行动,命运改写|旧怨清算|原主情绪回收,让主角故意踩进原剧情名场面，再用提前布置把受害现场改成反击现场,反杀后不是世界结束，而是原剧情产生偏差引来更难任务,只用外来能力碾压|原主遗憾没有被看见|反派行为完全不合理
TR-086,write|plan,桥段,知识补充,快穿目标动摇|攻略对象反攻略|好感异常|任务与真心,攻略对象反攻略怎么写|目标人物动心怎么排|快穿感情翻车,快穿,攻略对象动摇要让他先发现任务外的真实细节，而不是被数值硬推着爱上。,快穿感情线好看在任务和真心开始互相污染的那一刻。,目标人物可以从怀疑、试探、依赖到反向选择主角，关键是每一步都有具体互动支撑。,目标人物反攻略,任务者带着目的接近|目标人物有独立判断|好感变化有具体事件,任务失控|真心冒头|结算压力,让目标人物识破主角套路后仍选择配合，反把任务者逼进情感困局,目标人物不是被攻略成功，而是主动改写任务条件,好感度无理由上涨|目标人物像奖励道具|任务和感情互不影响
TR-087,write|plan,桥段,知识补充,种田灾年|粮荒囤粮|邻里互助|饥荒危机,灾年种田怎么写|粮荒囤粮桥段|饥荒里怎么经营,种田|年代|历史,灾年桥段要同时写物资、秩序和人心，让囤粮不是简单开仓发米。,灾年种田的张力来自粮食变成关系和道德的试金石。,粮价、借粮、分粮、保种、逃荒和邻里求助都能制造现实压力和人物选择。,灾年粮荒生存,灾情已铺垫|粮食储备有限|周围关系复杂,生存压力|人情考验|口碑建立,让主角用有限粮种换来春耕希望，而不是一次性解决所有饥荒,救人有选择成本，谁先救谁后救会成为后续关系账,物资无限供应|灾年只当背景|救助没有风险和反噬
TR-088,write|plan,桥段,知识补充,仙侠因果清算|旧债回收|师门恩怨|道心选择,仙侠因果怎么回收|师门旧债怎么写|道心选择桥段,仙侠|幻言,因果清算桥段要让主角面对旧恩旧怨的代价，不能只靠斩杀仇人收尾。,仙侠因果爽点在于道心落锤，角色终于知道自己要承担什么。,师门旧债、救命恩情、杀孽、誓言和前世旧约都能成为清算对象。,仙侠因果旧债清算,旧因果多次出现|当前选择会伤及原则|相关人物仍有牵挂,道心确认|旧债回收|关系断续有重量,让主角可以轻松赢却必须先偿还一桩不体面的旧债,清算后不是一身轻，而是接下更大的道途责任,因果只当口号|杀完反派就算了|旧恩旧怨没有具体事件
TR-089,write|plan,桥段,知识补充,电竞让二追三|赛点翻盘|换战术|绝境团战,电竞让二追三怎么写|赛点翻盘桥段|比赛绝境怎么燃,游戏,电竞翻盘要让读者看见战术调整和心理承压，不要靠主角突然爆种。,让二追三的爽点来自每一局都解决一个前面暴露的问题。,换线、禁选调整、资源置换、队内沟通和心态稳住都能成为翻盘台阶。,电竞赛点让二追三,前两局失败原因明确|队伍内部压力已爆|对手有针对策略,连续修正|团队信任|公开逆转,先输到赛点，再用一次不被看好的阵容选择打乱对手准备,最后一局不是单人天秀，而是前面所有修正共同兑现,失败原因不清|翻盘只靠手速|队友只负责喊加油
TR-090,write|plan,桥段,知识补充,历史借刀杀人|旧例设局|朝堂投票|权力转向,朝堂借势怎么写|历史权谋反杀|旧例设局桥段,历史|古言,权谋反杀要借旧例、程序和对手利益完成，不要让主角像开挂一样控全场。,历史权谋最爽的是主角没有直接出手，却让制度和派系替他落刀。,旧案、祖制、军功、税账、弹劾程序和派系交换都能成为借刀工具。,朝堂旧例借刀,主角掌握旧例或证据|对手以为自己占程序优势|第三方有可利用利益,借势改局|对手自陷|权力风向变,让反派亲自引用一条旧例，再被主角用同一条旧例反扣,胜利后也要付出结盟或人情代价,主角靠演讲说服所有人|程序规则随便变|派系没有利益逻辑
TR-091,write|plan,桥段,知识补充,科幻故障救援|氧气倒计时|工程抢修|舱外作业,科幻救援桥段怎么写|太空故障怎么紧张|工程抢修怎么排,科幻,科幻故障救援要把时间、资源和操作步骤写清，让危险来自工程限制。,氧气倒计时和设备故障最适合制造冷静高压的科幻爽点。,压力阀、备用电源、通信延迟、舱外风险和操作清单都能让救援有真实感。,工程倒计时救援,设备故障已明确|资源或氧气有限|操作步骤不能出错,冷静破局|极限救援|技术可信,让一个小零件失效牵动整套生命维持系统，主角必须拆东墙补西墙,救援成功但留下系统性隐患，后续必须返修或追责,科技随便修好|倒计时没有具体数值|操作过程全靠天才直觉
TR-092,write|plan,桥段,知识补充,同人名场面改写|旧人救回|遗憾补完|if线分歧,同人名场面怎么改|原作遗憾怎么补|if线桥段怎么写,衍生,同人改写名场面要保留原作情绪核心，再让一个选择带出新分歧。,衍生爽点不是推翻原作，而是让读者熟悉的痛点多出另一种可能。,旧台词、旧场景、旧道具和原作失败节点都能成为分歧触发器。,原作名场面分歧,原作节点被读者熟悉|新角色或新选择能合理介入|改写会带来后续代价,遗憾补完|熟悉回响|新路线开启,让角色只改变一个极小动作，却救下原作里没能救下的人,改写成功后原作更大危机提前到来,无代价救全员|角色行为不贴原作|只复刻名场面没有新意义
TR-093,write|plan,桥段,知识补充,年代名额争夺|先进评选|住房分配|单位风评,年代名额桥段怎么写|工厂评优怎么打脸|住房名额怎么争,年代,年代名额争夺要让评语、资格和人情同时入局，别只写吵架抢东西。,单位资源有限才有年代压迫感，谁被写进名单就等于命运转向。,工龄、师徒、家庭成分、工作表现和领导印象都能成为争夺筹码。,单位名额反转,关键名额稀缺|主角被人暗中抹黑|有人掌握旧证据或真实贡献,风评逆转|资格归位|小人物扬眉吐气,让对手靠关系提前占位，主角用工作记录和师傅证词把名单改回来,主角拿到名额后还要面对院里借光和嫉妒,名额像现代奖金一样随便发|领导无权力逻辑|证据凭空出现
TR-094,write|plan,桥段,知识补充,年代院落公审|票证账本|邻里站队|占便宜反噬,四合院公审怎么写|票证被偷怎么反杀|年代院里打脸,年代,院落公审桥段要用账本、票证和证人改变风评，不能靠主角单方面吵赢。,熟人社会的爽点在于坏人当众丢掉占理姿态。,前面要铺对方长期占便宜和主角忍让，爆点放在证据落桌与旁观者倒向。,院落账本公审,旧账多次出现|院里人习惯和稀泥|主角保留证据,风评翻盘|资源归还|邻居改口,让一张不起眼的票证牵出长期偷拿和撒谎,公审后不是彻底和好，而是形成新的院落边界,主角骂赢全院|邻居立场瞬间统一|坏人没有社会代价
TR-095,write|plan,桥段,知识补充,年代高考返城|介绍信|户口卡点|命运窗口,年代高考桥段怎么写|返城名额怎么写|介绍信卡点怎么排,年代|历史,年代命运窗口桥段要抓政策机会和手续限制，让小纸条变成大命运。,高考、招工、返城、户口和介绍信都是年代文天然卡点。,铺主角能力和外部阻力，再让一个手续节点决定能否跨出原生活圈。,时代窗口突围,政策变化已出现|主角具备资格|有人卡手续或压消息,命运开门|旧环境震动|压迫者失算,让主角提前准备材料却被人扣住介绍信，最后靠公开通知和证人抢回资格,突围成功后原关系网不会消失，会变成下一段牵扯,时代机会像抽奖|手续没有压力|所有人都无条件支持
TR-096,write|plan,桥段,知识补充,种田丰收庆典|集体宴席|民心凝聚|劳动兑现,丰收庆典怎么写|种田收获怎么爽|领地宴席桥段,种田|年代|奇幻,丰收庆典要把劳动结果、食物丰盛和群体归属写出来，不只是大家很开心。,种田丰收的爽点是读者看见前面所有辛苦终于变成满仓和笑脸。,粮堆、灶火、分肉、敬酒、孩子抢食和外村羡慕都能成为回报细节。,丰收庆典凝聚,前期播种或基建已有铺垫|收成超出预期|群体曾经历缺粮,劳动兑现|民心归附|安全感增加,让第一顿真正吃饱的饭成为关系修复和新秩序建立的场合,庆典中可插入外部觊觎或内部利益分配问题,只写热闹不写成果|丰收没有前期劳动|全员无差别欢呼
TR-097,write|plan,桥段,知识补充,种田作坊试产|配方失败|口碑翻盘|复购增长,作坊经营桥段怎么写|种田试卖怎么爽|配方失败怎么转机,种田|年代|都市,作坊试产要先写失败和损耗，再用改良与口碑形成复利。,经营爽点最怕无脑卖爆，最好让第一波问题成为改进线索。,火候、原料、包装、试吃、退货和复购都可以构成一个小闭环。,作坊试产翻盘,主角掌握手艺但条件简陋|第一批产品有缺陷|有人质疑或压价,工艺改良|口碑反转|稳定订单,让一次失败暴露隐藏优势，主角顺势改出更适合本地口味的版本,产品火了后带来仿冒和供货压力,随便一做就爆款|成本损耗不存在|顾客只会夸好吃
TR-098,write|plan,桥段,知识补充,种田修渠开荒|抢水冲突|集体协作|灾前准备,修渠开荒怎么写|种田水利桥段|抢水冲突怎么排,种田|历史,修渠开荒桥段要写人手、工具、地势和分水规则，否则建设没有重量。,水利是种田文最稳定的长线爽点，因为它能同时改变产量和人心。,前期缺水压迫越具体，修渠完成后的收益越有分量。,修渠开荒破局,旱情或荒地问题已持续|村里对分工有争执|主角有可执行方案,土地变活|邻里站队|长期收益,让修渠过程暴露旧矛盾，主角靠分水规则而不是蛮干稳住局面,渠通后也会引来邻村争水或豪强觊觎,工程一笔带过|水源无限|群众无条件服从
TR-099,write|plan,桥段,知识补充,种田赶集试卖|熟客养成|价格博弈|小摊升级,赶集卖货怎么写|种田小摊怎么赚钱|复购桥段怎么排,种田|年代,赶集试卖要写摊位、叫卖、议价和回头客，别只用一句卖光。,市井经营的爽点在于主角从没人信到有人专门来找。,先写试探性购买和挑剔顾客，再用口味、实惠或信誉换来复购。,赶集试卖复购,产品有明确卖点|主角缺少固定客源|市场有竞争摊位,口碑发芽|现金回流|摊位升级,让第一个挑剔顾客成为后续最稳的回头客,生意变好后要面对摊位费、同行模仿或供货不足,所有人排队疯抢|价格随便定|市场没有竞争
TR-100,write|plan,桥段,知识补充,快穿新世界开局|身份落差|任务倒计时|原主记忆,快穿开局怎么写|新世界身份怎么交代|原主记忆怎么铺,快穿,快穿新世界开局要同时交代身份危险、任务目标和原主伤口，不能只换地图。,一个好单元开头要让读者立刻知道这次要替谁出口气。,用现场困境切入，再补系统任务和原主记忆碎片，避免长篇说明书。,快穿身份落差开局,上个世界刚收束|新身份处于压迫现场|系统只给部分信息,快速代入|怨气建立|任务钩子,让主角醒来就在被羞辱或审判现场，通过反应倒推原主处境,任务说明可以缺一块，留给中段反转,开篇解释设定太久|原主伤口不具体|任务目标像口号
TR-101,write|plan,桥段,知识补充,快穿限时任务|失败惩罚|倒计时反杀|规则漏洞,快穿限时任务怎么写|系统惩罚怎么有张力|任务倒计时桥段,快穿,限时任务要让惩罚、时间和可利用漏洞都清楚，紧张感才成立。,快穿倒计时不是报数字，而是逼主角在坏选项里找可走的缝。,任务规则应有边界和漏洞，主角的聪明体现在读懂规则而非硬抗系统。,限时任务钻缝,系统发布高压任务|失败后果明确|现场资源不足,规则反用|危机转机|系统警惕,让主角表面完成任务要求，实则用措辞漏洞改写结算结果,钻漏洞会让系统提高警戒或暴露更高层规则,系统惩罚随便吓人|倒计时没有现场压力|漏洞像作者开门
TR-102,write|plan,桥段,知识补充,快穿替身翻身|白月光回归|身份误认|情感反杀,快穿替身世界怎么写|白月光回归怎么反杀|替身逆袭桥段,快穿|现言,快穿替身单元要把比较羞辱转成自我选择，不能只让男主后悔。,替身翻身最爽的是原主不再围着别人的影子活。,前期要让替身待遇具体可感，后期用事业、真相或主动离开完成反杀。,替身世界自我归位,原主长期被比较|目标人物误认感情|主角有重塑身份的机会,自我夺回|追悔反噬|评价改写,让白月光回归成为主角脱身而非雌竞升级的契机,主角离开后要给原关系网留下无法弥补的空洞,只写男主后悔|白月光工具化|女主仍被爱情定义
TR-103,write|plan,桥段,知识补充,快穿评级翻车|SSS背后|任务异常|主系统伏笔,快穿评级异常怎么写|SSS评级后怎么留悬念|系统伏笔怎么埋,快穿,评级异常桥段要让单元结束后多出长期谜题，避免快穿变成散装短篇。,最高评级不一定只是奖励，也可以暴露主系统的监控或恐惧。,结算面板、异常代码、被隐藏的任务项和系统沉默都能成为长线钩子。,任务结算异常,单元任务表面成功|主角做出超出系统预期的选择|系统有隐瞒传统,短爽收束|长线开钩|系统关系升级,让评级过高反而触发审查，系统第一次主动删掉某条提示,异常不立刻解释，只在下个世界制造限制,每次结算都一样|长期主线不推进|系统谜题随口解释
TR-104,write|plan,桥段,知识补充,幻言契约反噬|替伤守护|禁忌暴露|族规审判,幻言契约反噬怎么写|神妖守护桥段|族规审判怎么排,幻言,契约反噬桥段要让守护和代价同时出现，甜点才不廉价。,幻言的高光常常是角色明知会受伤仍选择触发契约。,前面要立契约禁忌和族规后果，爆点放在情感压过规则的一瞬间。,契约反噬守护,契约规则多次铺垫|双方关系未完全确认|外部危险逼近,情感可视化|守护兑现|代价落身,让契约本该惩罚背叛，却因主角真实选择临时改写反噬对象,守护成功后族群审判或寿命代价仍会追来,契约随便失效|守护没有代价|族规只会口头威胁
TR-105,write|plan,桥段,知识补充,幻言血脉觉醒|族群认主|灵物回应|身份逆转,幻言血脉觉醒怎么写|灵物认主怎么爽|神妖身份反转桥段,幻言,血脉觉醒要先写被排斥和误判，再让灵物或族群规则承认真实身份。,身份反转爽点来自被否认的人终于被世界本身承认。,铺异样感应、旧族纹、灵物亲近和旁人轻视，爆点落在公开验证。,血脉认主反转,主角身份被误判|族群规矩严格|有可公开验证的灵物或仪式,身份归位|羞辱反噬|关系重排,让灵物拒绝所有高位者，偏偏主动伏在主角脚边,认主后不是无敌，而是背上族群旧债,血脉觉醒像抽奖|旁人无脑震惊|身份反转无后续责任
TR-106,write|plan,桥段,知识补充,仙侠炼丹炸炉|失败变异|师徒反应|意外机缘,炼丹炸炉怎么写|仙侠炼丹失败怎么爽|变异丹药桥段,仙侠|玄幻,炼丹炸炉桥段要先让失败有工艺原因，再把意外机缘建立在失败结果上。,炸炉的趣味在狼狈和惊喜并存，不是随便爆一下给奖励。,火候、药性冲突、炉鼎裂纹和未知辅材都能解释变异来源。,炼丹炸炉变异,炼制目标明确|材料或火候有隐患|师徒关系有压力,笑点释放|意外收获|技艺成长,让失败丹药难看难闻却在某个特定用途上远超正品,变异机缘也带来副作用或新追查,失败必出神丹|工艺细节缺席|师父只负责震惊
TR-107,write|plan,桥段,知识补充,衍生体系碰撞|外来能力|原作规则校验|画风磨合,同人体系碰撞怎么写|修仙进霍格沃茨怎么写|外来能力怎么不违和,衍生|奇幻|仙侠,体系碰撞桥段要让外来能力先接受原作规则检验，不能一来就碾压世界。,跨体系同人的爽点来自互相解释和互相限制。,先定义两套体系的差异，再安排一次小场景验证兼容性与冲突点。,跨体系小试,原作体系规则清晰|主角带来外来能力|旁观者有专业判断,新鲜感|规则互证|后续路线打开,让外来法门解决一个原作小难题，同时暴露一个严重不兼容风险,后续可以让两套体系互补而不是谁取代谁,外来体系无脑碾压|原作规则失效|读者熟悉感被抹掉
TR-108,write|plan,桥段,知识补充,衍生战力校准|原作天花板|情报优势|分段取胜,同人战力平衡怎么写|主角太强怎么办|原作战力怎么不崩,衍生,同人战力桥段要对齐原作标尺，主角可以赢但不能让世界规则失去意义。,战力平衡的爽点不是秒杀，而是在熟悉天花板下找到克制路径。,用情报、地形、技能克制和阶段目标取胜，比单纯数值高更耐看。,原作标尺破局,原作强者水平已被读者熟悉|主角有优势也有短板|战斗目标不一定是击杀,智取强敌|标尺保留|主角可信变强,让主角靠提前知道机制拆分强敌能力，而不是正面压过天花板,胜利后强敌会调整策略，不能重复使用同一招,过早无敌|原作强者集体降智|战力体系随剧情漂移
